backend,scenario,iteration,concurrency,duration_ms,status_code,throughput_ops_sec
local,read_latency,0,1,3.854,200,
local,read_latency,1,1,3.824,200,
local,read_latency,2,1,4.838,200,
local,read_latency,3,1,4.408,200,
local,read_latency,4,1,3.482,200,
local,read_latency,5,1,4.717,200,
local,read_latency,6,1,6.126,200,
local,read_latency,7,1,6.357,200,
local,read_latency,8,1,4.047,200,
local,read_latency,9,1,4.254,200,
local,read_latency,10,1,5.34,200,
local,read_latency,11,1,3.245,200,
local,read_latency,12,1,2.788,200,
local,read_latency,13,1,2.293,200,
local,read_latency,14,1,4.868,200,
local,read_latency,15,1,2.654,200,
local,read_latency,16,1,3.477,200,
local,read_latency,17,1,2.535,200,
local,read_latency,18,1,3.759,200,
local,read_latency,19,1,2.99,200,
local,read_latency,20,1,4.039,200,
local,read_latency,21,1,3.518,200,
local,read_latency,22,1,5.319,200,
local,read_latency,23,1,4.61,200,
local,read_latency,24,1,3.093,200,
local,list_heavy_ls,0,1,4.376,200,
local,list_heavy_ls,1,1,6.776,200,
local,list_heavy_ls,2,1,5.481,200,
local,list_heavy_ls,3,1,4.051,200,
local,list_heavy_ls,4,1,4.208,200,
local,list_heavy_ls,5,1,6.925,200,
local,list_heavy_ls,6,1,6.388,200,
local,list_heavy_ls,7,1,4.391,200,
local,list_heavy_ls,8,1,5.502,200,
local,list_heavy_ls,9,1,8.394,200,
local,list_heavy_ls,10,1,6.908,200,
local,list_heavy_ls,11,1,7.628,200,
local,list_heavy_ls,12,1,5.134,200,
local,list_heavy_ls,13,1,8.751,200,
local,list_heavy_ls,14,1,8.521,200,
local,list_heavy_ls,15,1,5.631,200,
local,list_heavy_ls,16,1,7.193,200,
local,list_heavy_ls,17,1,8.924,200,
local,list_heavy_ls,18,1,7.751,200,
local,list_heavy_ls,19,1,7.679,200,
local,list_heavy_ls,20,1,7.507,200,
local,list_heavy_ls,21,1,13.168,200,
local,list_heavy_ls,22,1,8.4,200,
local,list_heavy_ls,23,1,6.814,200,
local,list_heavy_ls,24,1,5.248,200,
gcsfuse,read_latency,0,1,9.853,200,
gcsfuse,read_latency,1,1,9.376,200,
gcsfuse,read_latency,2,1,8.608,200,
gcsfuse,read_latency,3,1,6.471,200,
gcsfuse,read_latency,4,1,7.417,200,
gcsfuse,read_latency,5,1,5.879,200,
gcsfuse,read_latency,6,1,5.355,200,
gcsfuse,read_latency,7,1,6.247,200,
gcsfuse,read_latency,8,1,9.018,200,
gcsfuse,read_latency,9,1,9.397,200,
gcsfuse,read_latency,10,1,7.043,200,
gcsfuse,read_latency,11,1,7.47,200,
gcsfuse,read_latency,12,1,8.829,200,
gcsfuse,read_latency,13,1,8.306,200,
gcsfuse,read_latency,14,1,7.301,200,
gcsfuse,read_latency,15,1,7.194,200,
gcsfuse,read_latency,16,1,4.061,200,
gcsfuse,read_latency,17,1,4.21,200,
gcsfuse,read_latency,18,1,4.66,200,
gcsfuse,read_latency,19,1,4.975,200,
gcsfuse,read_latency,20,1,5.438,200,
gcsfuse,read_latency,21,1,5.324,200,
gcsfuse,read_latency,22,1,7.131,200,
gcsfuse,read_latency,23,1,4.037,200,
gcsfuse,read_latency,24,1,6.428,200,
gcsfuse,list_heavy_ls,0,1,150.088,200,
gcsfuse,list_heavy_ls,1,1,203.229,200,
gcsfuse,list_heavy_ls,2,1,176.16,200,
gcsfuse,list_heavy_ls,3,1,233.42,200,
gcsfuse,list_heavy_ls,4,1,206.133,200,
gcsfuse,list_heavy_ls,5,1,197.236,200,
gcsfuse,list_heavy_ls,6,1,209.387,200,
gcsfuse,list_heavy_ls,7,1,203.925,200,
gcsfuse,list_heavy_ls,8,1,205.096,200,
gcsfuse,list_heavy_ls,9,1,214.919,200,
gcsfuse,list_heavy_ls,10,1,187.049,200,
gcsfuse,list_heavy_ls,11,1,215.311,200,
gcsfuse,list_heavy_ls,12,1,197.988,200,
gcsfuse,list_heavy_ls,13,1,208.539,200,
gcsfuse,list_heavy_ls,14,1,200.461,200,
gcsfuse,list_heavy_ls,15,1,211.715,200,
gcsfuse,list_heavy_ls,16,1,202.72,200,
gcsfuse,list_heavy_ls,17,1,290.642,200,
gcsfuse,list_heavy_ls,18,1,188.158,200,
gcsfuse,list_heavy_ls,19,1,228.82,200,
gcsfuse,list_heavy_ls,20,1,232.466,200,
gcsfuse,list_heavy_ls,21,1,118.226,200,
gcsfuse,list_heavy_ls,22,1,247.554,200,
gcsfuse,list_heavy_ls,23,1,308.236,200,
gcsfuse,list_heavy_ls,24,1,721.434,200,
