backend,method,status_code,classification,duration_ms,note
local,upload_files,200,PASS,5.085,
local,aupload_files,200,PASS,5.489,
local,write,200,PASS,3.724,path=/matrix/20260403_032829_985661-local/test-write-20260403_032829_985661.txt
local,awrite,200,PASS,5.725,path=/matrix/20260403_032829_985661-local/test-awrite-20260403_032829_985661.txt
local,ls,200,PASS,5.038,
local,als,200,PASS,5.871,
local,read,200,PASS,4.792,
local,aread,200,PASS,5.095,
local,edit,200,PASS,3.73,
local,aedit,200,PASS,2.869,
local,glob,200,PASS,3.865,
local,aglob,200,PASS,7.655,
local,grep,200,PASS,6.266,
local,agrep,200,PASS,3.691,
local,download_files,200,PASS,4.14,files=3
local,adownload_files,200,PASS,4.418,files=2
gcsfuse,upload_files,200,PASS,1061.255,
gcsfuse,aupload_files,200,PASS,505.842,
gcsfuse,write,200,PASS,614.421,path=/matrix/20260403_032829_985661-gcsfuse/test-write-20260403_032829_985661.txt
gcsfuse,awrite,200,PASS,617.33,path=/matrix/20260403_032829_985661-gcsfuse/test-awrite-20260403_032829_985661.txt
gcsfuse,ls,200,PASS,115.726,
gcsfuse,als,200,PASS,97.171,
gcsfuse,read,200,PASS,99.612,
gcsfuse,aread,200,PASS,102.859,
gcsfuse,edit,200,PASS,508.446,
gcsfuse,aedit,200,PASS,504.917,
gcsfuse,glob,200,PASS,209.985,
gcsfuse,aglob,200,PASS,307.755,
gcsfuse,grep,200,PASS,713.516,
gcsfuse,agrep,200,PASS,204.515,
gcsfuse,download_files,200,PASS,308.591,files=3
gcsfuse,adownload_files,200,PASS,11.657,files=2
